1883	10.0492	511.0000
1884	1.3011	231.0000
1885	1.2550	230.0000
1886	1.3682	244.0000
1887	1.6437	284.0000
1888	1.1465	208.0000
1889	1.3338	237.0000
1890	1.1342	205.0000
1891	1.0659	171.0000
1892	2.5534	339.0000
1893	1.8436	300.0000
1894	1.0767	173.0000
1895	189.5000	1065.0000
1896	1.1105	202.0000
1897	2.8253	351.0000
1898	1.0553	171.0000
1899	1.5256	262.0000
1900	16.1768	533.0000
1901	1.0990	200.0000
1902	1.0449	162.0000
1903	4.5042	386.0000
1904	11.1004	517.0000
1905	1.2403	229.0000
1906	1.4044	249.0000
1907	1.1590	220.0000
1908	3.8505	376.0000
1909	1.1223	204.0000
1910	1.2854	231.0000
1911	6.0433	428.0000
1912	2.9843	367.0000
1913	1.4426	255.0000
1914	1.4625	256.0000
1915	29.8090	585.0000
1916	3.4725	373.0000
1917	2.3292	327.0000
1918	2.7521	351.0000
1919	2.4934	334.0000
1920	1.4233	251.0000
1921	1.3508	240.0000
1922	1.0877	198.0000
1923	1.2700	231.0000
1924	1.7817	298.0000
1925	12.3972	522.0000
1926	3.3625	370.0000
1927	3.7157	375.0000
1928	14.0370	526.0000
1929	1.3173	235.0000
1930	19.0863	552.0000
1931	1.2260	228.0000
1932	1.6187	274.0000
1933	9.1799	479.0000
1934	1.0053	95.0000
1935	1.2120	227.0000
1936	8.4490	478.0000
1937	6.4082	438.0000
1938	1.3861	247.0000
1939	3.2592	369.0000
1940	5.7177	410.0000
1941	4.1518	384.0000
1942	1.7523	298.0000
1943	7.8260	457.0000
1944	1.0149	115.0000
1945	1.5040	261.0000
1946	1.4830	257.0000
1947	68.0256	714.0000
1948	1.1983	227.0000
1949	1.8122	299.0000
1950	2.2313	324.0000
1951	4.3208	385.0000
1952	3.9955	377.0000
1953	1.5478	263.0000
1954	1.1718	222.0000
1955	6.8201	453.0000
1956	2.0582	316.0000
1957	2.0190	314.0000
1958	2.0989	317.0000
1959	3.5900	375.0000
1960	1.9100	308.0000
1961	7.2885	456.0000
1962	2.6164	344.0000
1963	1.6963	286.0000
1964	3.1621	369.0000
1965	1.0247	122.0000
1966	2.1853	324.0000
1967	1.9450	313.0000
1968	41.4531	600.0000
1969	3.0706	369.0000
1970	1.1849	224.0000
1971	2.9026	362.0000
1972	2.3815	330.0000
1973	1.5708	266.0000
1974	4.9221	396.0000
1975	23.2719	559.0000
1976	1.0347	152.0000
1977	2.4362	334.0000
1978	2.2792	326.0000
1979	2.1412	324.0000
1980	4.7039	393.0000
1981	1.7238	289.0000
1982	1.9813	314.0000
1983	2.6825	345.0000
1984	1.6696	286.0000
1985	1.5944	270.0000
1986	5.4254	408.0000
1987	1.8762	304.0000
1988	5.1615	402.0000
